GROUPAMA ENTREPRISES R;DEU FLOATING RATE NOTES-TFC;PICTET USD SHORT MID TERM;FON/03/CH;ROBECO GLO CR SHT MAT-IH EUR;/03/ch Green Transition Bond;Robeco Climate Bond;JUPITER DYNAMIC BOND;/03/CH INTL-FAMILY BUSINESS;AMU CPR BANCA /03/CH IMP-REUR;Harrris Associates Global Equity;POLEN FOCUS US GROWTH-EUR IN;ROBECO BP US PREMIUM EQ/F;ELEVA EUROPEAN SELECTION;ROBECO SUS EUR STARS EQ-FEUR;ABERDEEN ASIA PAC EQUITY;GQG PARTNERS EM MKT EQ-I EUR;Fidelity Global Financials;M&G LUX GLOBAL LIST INF-ECIA;/03/CH NEXT G/01/RATION;NEUBERGER BERMAN UNCORRELATED STRATEGIES;DNCA INVEST ALPHA BONDS;/03/ch Alternative Strategies
506,75;101,82;136,09;9,53;96,71;7,99;79,84;11,57;11,77;105,82;134,72;15,2;368,81;183,78;188,19;12,44;13,69;17,59;14,56;10,79;9,73;119,73;9,79
506,35;101,73;135,35;9,51;96,41;7,94;79,21;11,47;11,79;105,08;135,09;15,35;365,26;181,76;187,73;12,32;13,4;17,82;14,17;10,72;9,73;118,79;9,78
505,96;101,67;134,78;9,51;96,65;8,02;79,87;11,62;11,86;106,15;136,64;15,17;364,54;183,31;188,66;12,4;13,61;17,36;14,84;10,86;9,73;119,72;9,79
505,57;101,56;133,81;9,51;96,87;8,11;80,34;11,71;12;106,89;137,58;15,23;364,06;184,46;190,24;12,52;13,55;18,02;15,43;10,85;9,69;120,11;9,77
505,21;101,47;133,77;9,52;96,82;8,18;80,63;11,84;12,28;109,24;141,2;15,89;369,04;188,57;194,37;12,9;13,76;17,85;15,88;11,25;9,66;120,27;9,75
504,79;101,37;133,19;9,53;96,83;8,17;80,81;11,82;12,23;108,21;139,06;16,24;366,37;185,7;191,77;12,82;13,54;18,49;15,47;11,26;9,66;119,97;9,74
504,41;101,28;132,17;9,54;96,95;8,25;81,15;11,86;12,19;109,05;140,61;16,3;368,71;187,38;192,37;13,01;13,56;17,96;15,61;11,42;9,6;119,86;9,7
504,07;101,18;132,19;9,53;96,59;8,25;80,8;11,74;12,19;107,35;137,76;15,75;362,85;184,78;189,75;12,74;13,31;18,4;15,51;11,08;9,61;119,73;9,65
503,71;101,1;131;9,51;96,56;8,25;80,53;11,72;12,19;105,95;137,06;15,5;360,14;183,25;189,09;12,77;13,01;17,6;15,26;10,93;9,6;119,55;9,65
503,33;101,03;129,84;9,51;96,73;8,25;81,04;11,83;12,19;107,61;140,21;15,92;363,93;186,77;192,26;13,32;13,06;17,67;15,61;11,25;9,6;119,91;9,65
